"filename", "language", "HTML", "JavaScript", "PostCSS", "C#", "comment", "blank", "total"
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_146.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_147.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_148.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_149.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_15.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_150.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_151.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_152.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_153.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_154.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_155.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_156.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_157.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_158.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_159.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_16.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_160.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_161.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_162.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_163.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_164.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_165.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
