"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "PostCSS", "Markdown", "XML", "Python", "comment", "blank", "total"
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\terms-of-service\terms-of-service.component.html", "HTML", 0, 0, 0, 248, 0, 0, 0, 0, 13, 81, 342
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\terms-of-service\terms-of-service.component.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\auth-callback\auth-callback.component.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\auth-styles.css", "PostCSS", 0, 0, 0, 0, 124, 0, 0, 0, 3, 25, 152
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\reset-password\reset-password.component.css", "PostCSS", 0, 0, 0, 0, 63, 0, 0, 0, 3, 16, 82
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\reset-password\reset-password.component.html", "HTML", 0, 0, 0, 55, 0, 0, 0, 0, 4, 6, 65
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\reset-password\reset-password.component.ts", "TypeScript", 0, 0, 149, 0, 0, 0, 0, 0, 53, 23, 225
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signin-verify\signin-verify.component.css", "PostCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 4, 13
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signin-verify\signin-verify.component.html", "HTML", 0, 0, 0, 45, 0, 0, 0, 0, 4, 6, 55
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signin-verify\signin-verify.component.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 49, 26, 167
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signin\signin.component.css", "PostCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 3, 12
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signin\signin.component.html", "HTML", 0, 0, 0, 76, 0, 0, 0, 0, 25, 9, 110
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signin\signin.component.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 54, 26, 174
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signup\signup.component.css", "PostCSS", 0, 0, 0, 0, 89, 0, 0, 0, 2, 22, 113
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signup\signup.component.html", "HTML", 0, 0, 0, 128, 0, 0, 0, 0, 25, 9, 162
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\auth\signup\signup.component.ts", "TypeScript", 0, 0, 152, 0, 0, 0, 0, 0, 84, 31, 267
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\friends-list\friends-list.component.css", "PostCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 2, 11
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\friends-list\friends-list.component.html", "HTML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 2, 33
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\friends-list\friends-list.component.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 1, 9, 83
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\friendship-list-card\friendship-list-card.component.css", "PostCSS", 0, 0, 0, 0, 60, 0, 0, 0, 1, 12, 73
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\friendship-list-card\friendship-list-card.component.html", "HTML", 0, 0, 0, 33, 0, 0, 0, 0, 1, 3, 37
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\friendship-list-card\friendship-list-card.component.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 1, 9, 59
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\requests-list\requests-list.component.css", "PostCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 2, 11
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\requests-list\requests-list.component.html", "HTML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 2, 33
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\components\requests-list\requests-list.component.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 1, 10, 88
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\friends.component.css", "PostCSS", 0, 0, 0, 0, 33, 0, 0, 0, 1, 8, 42
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\friends.component.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 2, 19
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\friends\friends.component.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 1, 5, 39
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-invites-card\group-invites-card.component.css", "PostCSS", 0, 0, 0, 0, 110, 0, 0, 0, 1, 18, 129
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-invites-card\group-invites-card.component.html", "HTML", 0, 0, 0, 33, 0, 0, 0, 0, 1, 6, 40
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-invites-card\group-invites-card.component.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 40, 16, 104
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-invites-list\group-invites-list.component.css", "PostCSS", 0, 0, 0, 0, 22, 0, 0, 0, 1, 4, 27
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-invites-list\group-invites-list.component.html", "HTML", 0, 0, 0, 28, 0, 0, 0, 0, 1, 2, 31
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-invites-list\group-invites-list.component.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 35, 16, 124
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-list-card\group-list-card.component.css", "PostCSS", 0, 0, 0, 0, 47, 0, 0, 0, 1, 7, 55
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-list-card\group-list-card.component.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 15, 3, 37
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\group-list-card\group-list-card.component.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 40, 14, 88
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\groups-list\groups-list.component.css", "PostCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 2, 11
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\groups-list\groups-list.component.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 0, 1, 2, 32
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\components\groups-list\groups-list.component.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 31, 15, 117
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\groups.component.css", "PostCSS", 0, 0, 0, 0, 33, 0, 0, 0, 1, 8, 42
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\groups.component.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 2, 19
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\groups\groups.component.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 1, 5, 34
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-actions-popover\profile-actions-popover.component.css", "PostCSS", 0, 0, 0, 0, 37, 0, 0, 0, 1, 3, 41
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-actions-popover\profile-actions-popover.component.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 1, 5, 23
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-actions-popover\profile-actions-popover.component.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 46, 20, 171
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-catch-pin-card\profile-catch-pin-card.component.css", "PostCSS", 0, 0, 0, 0, 68, 0, 0, 0, 3, 10, 81
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-catch-pin-card\profile-catch-pin-card.component.html", "HTML", 0, 0, 0, 35, 0, 0, 0, 0, 1, 4, 40
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-catch-pin-card\profile-catch-pin-card.component.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 1, 5, 33
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-show-more-modal\profile-show-more-modal.component.css", "PostCSS", 0, 0, 0, 0, 55, 0, 0, 0, 1, 11, 67
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-show-more-modal\profile-show-more-modal.component.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\profile-show-more-modal\profile-show-more-modal.component.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 1, 3, 36
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\small-friendship-carousel-card\small-friendship-carousel-card.component.css", "PostCSS", 0, 0, 0, 0, 28, 0, 0, 0, 1, 5, 34
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\small-friendship-carousel-card\small-friendship-carousel-card.component.html", "HTML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\small-friendship-carousel-card\small-friendship-carousel-card.component.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 1, 5, 26
